t,total_pop
0,83138888.88888888
1,4614027777.777778
2,2851666666.6666665
3,2412222222.2222223
4,3281388888.888889
5,5049444444.444445
6,4868333333.333333
7,2322777777.7777777
8,2809206349.2063494
9,4245483870.967742
10,6254838709.67742
11,2886774193.548387
12,3119655172.413793
13,2936551724.137931
14,2501724137.9310346
15,2526428571.428571
16,3077500000.0
17,12544363636.363636
18,3940816326.5306125
19,9069795918.367348
20,8217826086.956522
21,3896521739.130435
22,3495652173.9130435
23,3505217391.304348
24,3366956521.7391305
25,4246086956.521739
26,3913043478.2608695
27,2971304347.826087
28,2850232558.139535
29,2639534883.72093
30,2981860465.116279
